Sector,Land Type,Size (Acres),Dist to Beach (km),Owner,Patta
Chennai,residential,4.6,2.77,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.47,2.9,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.89,2.08,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.87,2.12,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.79,2.28,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,9.37,2.92,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.47,3.08,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.43,0.3,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.33,0.31,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.5,0.32,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.95,0.42,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.77,0.91,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.57,0.86,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,15.89,2.79,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.26,2.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.91,0.23,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.9,0.29,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.71,2.19,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,12.68,0.42,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.91,2.98,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.34,1.99,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.4,2.05,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.04,1.4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.38,0.97,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.52,2.12,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,7.49,3.4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.36,3.2,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.86,3.26,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.62,4.07,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.99,4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.12,3.93,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.47,4.83,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.59,3.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,12.24,3.3,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,12.67,3.1,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.92,4.73,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.17,4.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.73,3.81,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.69,3.09,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.26,4.87,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,10.03,4.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.04,4.17,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.15,4.95,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,9.21,4.8,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,8.18,4.7,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,26.76,4.02,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.7,5.36,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.85,5.15,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.17,5.28,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.05,5.29,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.42,5.35,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.54,5.28,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.46,5.34,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.63,5.31,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.63,5.28,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.88,5.39,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.26,5.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,7.79,7.02,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.37,5.85,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.26,7.1,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.73,5.86,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.01,7,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.36,7.01,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.39,6.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.03,3.05,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.21,4.28,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.76,4.06,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.96,3.34,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,0.73,3.41,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.98,4.08,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.51,4.11,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.12,3.31,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.36,3.74,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.85,4.93,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.94,1.85,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.16,1.79,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.4,1.91,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,14.22,2.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.99,0.35,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,10,0.48,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.11,0.64,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.37,0.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.2,0.28,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,12.6,1.02,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.46,2.19,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,5.42,0.72,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.27,1.2,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.85,1.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,5.05,0.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,2.14,0.47,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,16.77,0.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,1.18,0.29,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.93,1.03,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,2.04,1.13,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.64,1.22,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,0.9,0.66,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,4.27,0.31,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,4.85,0.77,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,0.48,0.59,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.87,0.15,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,5.67,0.17,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.88,0.18,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.56,0.24,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.89,0.28,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,1.13,0.69,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,1.17,0.77,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.95,1.72,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.39,5.53,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.92,5.67,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,11.54,4.5,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,0.99,5,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.13,5.15,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,30.27,4.31,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,5.69,4.05,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.58,4.74,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.11,5.03,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,5.12,5.07,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,2.83,4.58,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.98,4.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.76,5.89,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,1.12,7.95,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.73,7.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.79,8,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.4,5.58,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.49,3.89,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,2,3.64,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.26,4.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,11,2.23,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,8.45,2.21,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.75,2.82,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,3.33,2.46,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,17.36,0.97,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.88,1.21,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.32,1.91,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.39,5.5,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.18,4.51,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.82,3.91,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.68,4.27,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.13,4.4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.86,4.77,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.83,5.39,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.85,4.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.62,3.99,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.99,4.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.07,3.97,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.52,3.92,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.38,4.59,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.02,4.8,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.51,3.92,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.27,4.43,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.33,4.54,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.1,4.48,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.89,4.02,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.87,4.34,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.9,4.1,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.52,4.42,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.14,4.82,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.96,4.07,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.41,4.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.54,3.99,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.92,5.36,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.38,1.39,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.38,1.61,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.45,0.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.71,4.91,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.27,1.23,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.97,1.31,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.02,1.16,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.92,0.53,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.42,1.4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.06,2.75,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.79,5.35,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.02,3.09,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.45,5.35,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.4,5.28,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.77,0.69,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.2,2.94,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.52,1.55,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.2,5.28,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.86,5.23,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.46,1.72,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.17,1.73,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.49,2.97,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.69,5,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.95,5.22,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.04,2.72,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.56,1.59,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.72,1.22,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.5,1.52,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.01,1.2,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.4,2.47,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.36,1.1,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.89,2.98,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.45,3.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.65,3.78,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.69,2.64,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.38,3.22,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.89,3.08,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,12.11,3.04,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.31,3.31,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.32,3.23,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,10.77,3.06,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.34,3.64,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.58,4.62,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.77,4.82,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.14,5.36,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.59,4.36,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.77,4.24,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.36,4.45,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.24,4.09,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.12,4.52,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.19,4.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,14.34,0.46,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,14.49,1.14,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,6.61,1.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,3.27,0.97,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,3.19,1.29,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.05,0.63,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,2.09,1.32,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.59,2.55,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.92,3.02,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.4,4.83,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.7,4.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.18,2.78,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.18,4.91,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.99,2.5,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.8,5.2,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.83,7.82,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.17,4.66,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.53,2.5,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.54,7.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.59,7.53,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.79,5.11,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.32,1.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.03,1.07,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.28,1.02,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.3,2.15,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.63,0.53,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.99,0.6,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.3,1.13,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,2.98,2.73,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.18,1.52,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.06,3.46,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.36,4.01,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.2,3.53,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.06,4.2,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.75,3.89,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.37,3.4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.75,3.1,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.6,3.65,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.51,3.22,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.18,1.58,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.04,1.62,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.81,1.75,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.76,1.83,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.63,3.12,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.54,3.09,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.12,3.74,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.62,3.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.87,3.84,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.72,3.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.79,4.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.23,4.55,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.72,4.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.51,4.63,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.81,4.39,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.33,4.48,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.82,3,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.23,1.36,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.41,1.47,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.59,1.47,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.42,1.42,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.72,1.39,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.74,1.45,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.07,1.4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.35,1.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.34,0.67,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.32,0.8,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.03,1.49,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.56,0.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.04,2.93,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.09,1.27,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.35,1.34,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.12,3.18,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.47,3.29,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,2.46,4.98,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.07,4.9,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.95,4.22,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.72,4.22,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.43,5.04,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,7.39,2.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,0.87,2.79,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.28,2.61,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.49,6.64,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,4.4,0.38,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.21,3.46,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.42,5.42,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.19,3.89,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.11,3.21,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.29,3.3,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.25,4.7,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.22,3.42,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.08,3.41,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.16,3.39,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.01,3.79,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.1,2.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.16,1.47,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.07,5.85,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.1,7.09,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.03,4.38,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.72,3.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.02,6.86,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.04,7.13,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.98,0.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.41,5.39,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.7,2.46,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.68,2.48,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.51,2.52,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,9.64,2.26,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.75,2.46,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.66,2.46,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.39,2.36,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.47,2.42,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.44,2.34,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.52,4.19,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.07,7.24,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.06,5.97,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.31,1.32,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.48,5.36,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.44,3.67,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.67,3.67,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.31,3.7,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.31,3.71,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.53,3.73,"Restricted (Requires TN Nilam Auth)",Restricted
